"","Name","Price","Opinions","Product_Weight","Volume","Power","Height","Width","Depth"
"1","AmazonBasics - Aspiradora cilíndrica sin bolsa, 2,5  L, 700 W [clase energética A]",69.99,312,6,2.5,700,45.3,42,32
"2","AmazonBasics - Aspiradora de suelo con bolsa, 1,5L, clasificación energética A, motor de alta eficiencia",49.99,39,3.49,3,700,35.3,18,29
"3","Rowenta Compact Power Cyclonic RO3753EA Aspirador sin Bolsa, Sistema Ciclónico sin Bolsa, Depósito 1.5 L, Cepillo Parquet y Boquilla 2 en 1 para Ranuras, 79 dB, Fácil de Limpiar",80.9,2034,6,1.5,750,27.5,51,35
"4","Aspiradoras Hogar Escoba, Hikeren Aspiradora de Mano Sin Cable 12000 pa, Aspiradoras Vertical con Batería de 2500mAh, 2 Velocidades, Luz LED, 2 Filtros Lavable, 2 Cepillos",89.98,241,3.12,0.6,120,41.7927401574803,31.3622047244094,34.1574803149606
"5","Kärcher Aspiradores multiuso WD 3 (1.629-800.0)",68,1338,5.8,17,1000,34,48,51
"6","Rowenta RO2727EA City Space Cyclonic Aspirador sin Bolsa, Tecnología ciclónica, Compacto, 78 dB, 750  W, Marfil y azul",59.99,272,4.95,1.2,750,47,33,37
"7","Holife Aspiradora Escoba de 15Kpa, Aspirador Vertical 2 en 1, 800ml, con 2 Filtros HEPA Lavables y 3 Cepillos, Vertical y Portátil Ajustable [Clase de eficiencia energética A+]",43.99,59,2.18,0.8,535.027210884354,41.7927401574803,31.3622047244094,34.1574803149606
"8","Cecotec Aspirador Ciclónico Vertical Conga Duostick Easy. Aspirador Ciclónico Vertical 2 en 1 (Escoba y de Mano Sin Bolsas, Filtro HEPA) Color negro y verde, 800 W",26.39,2688,2.1,1,800,25,57,14
"9","SAMBA ¡Aspirador 2en1! Vertical y de Mano Sin Cable Aspira Pro 21,6V, 8500Pa, Silencioso 68dB, Autonomía hasta 40min, Filtro HEPA, Capacidad 0’8L, Cepillo Motorizado, Luz LED, Estación Carga, 2200mAh",93.9065454545455,364,3.6,0.8,150,41.7927401574803,31.3622047244094,34.1574803149606
"10","Cecotec Aspirador de Sólidos y Líquidos Conga Wet&Dry. Filtro HEPA y Filtro de Agua, Regulador de Potencia, Función Sopladora, Capacidad 15 l, 1400W",63.02,684,6,15,1400,40,50,52
"11","Robot Aspirador de Alto Rendimiento, Especial Mascotas, Todo Tipo De Suelos, Autonomía Hasta 90 Min, Sensor De Obstaculos, Mando A Distancia Incluido, Tecnología Silenciosa 70 dB. H.Koenig_SWR28",179.9,35,3.2,0.4,24,32,41,62
"12","TACKLIFE Aspirador Inalámbrico, VCST01A Aspiradora Sin Cable, Función 2 en 1 y Batería de 2200 mAh con Accesorios, 1,35 kg para Limpiar la Casa, el Hotel o el Coche, etc.",89.99,35,3.68,2.79065040650406,535.027210884354,41.7927401574803,31.3622047244094,34.1574803149606
"13","MLITER Aspirador Escoba con Cable 2 en 1, Aspiradora Gran Succión 14KPa, Aspirador de Mano 12 Accesorios, Aspiradora Hogar Ligera Pelo Mascota, Depósito 800ml, Azul y Blanco",42.99,66,2.38,0.8,400,23.8,17,4
"14","Aspiradora de Mano, Hikeren Aspirador Mano Sin Cable Potente, 5000PA, Aspiradoras en Seco y Húmedo, Batería de 2400mAh, Filtro de Acero Inoxidable, Accesorio Completo para Hogar y Coche",39.98,267,0.939,0.3,100,41.7927401574803,31.3622047244094,34.1574803149606
"15","Aspiradoras Escoba, HIKEREN Aspiradora Escoba Hogar, 12000 pa, Aspirador Mano Sin Cable, con Estación de Carga y 4 X Luces LED, 2 Velocidades, Batería de 2500mAh, Lavable Filtro HEPA, 2 Cepillos",84.99,470,3.14,0.6,535.027210884354,120,21,11
"16","Bosch BGC05AAA2 GS05 Cleann'n Aspirador sin Bolsa, Diseño Ultra-Compacto, Filtro Hepa H12 Lavable, Cepillo Especial Suelos Delicados, 700 W, 1.5 Litros, 78 Decibeles, Rojo y Negro",90,203,4.4,1.5,700,31.4,28,43
"17","Aspiradora de Mano Sin Cable, HIKEREN Aspirador Mano Potente, 6000PA, Aspiradora Sin Cable con Filtro de Acero Inoxidable, Luz LED, Batería de 2600mAh, Tecnología Ciclónica, 3 Boquillas",46.96,514,0.98,2.79065040650406,100,35,2,11
"18","proscenic P8 PLUS Aspirador sin cable Potente 15000Pa, de mano 2 en 1 con Varios Accesorios,batería Recargable Ion-Litio",93.9065454545455,333,3.42,2.79065040650406,180,71,41,18
"19","TACKLIFE Aspirador Húmedo y Seco, 18.9L Aspiradora Hogar 1000W, Función Sopladora, HEPA Filtro, 2 * 0.4m Tubo de Extensión, 3 Boquillas, Tecnología de Boya Segura, PVC01A",93.9065454545455,39,6.5,18.9,535.027210884354,41.7927401574803,31.3622047244094,34.1574803149606
"20","Polti Forzaspira C110_Plus Aspirador cicónico sin Bolsa, 2 litros Capacidad depósito de Recogida, 800 W, 80 Decibelios, Rojo",61.99,336,5.2,2,800,28,41,42
"21","Hoover Sprint EVO SE61 Aspirador trineo sin bolsa con filtro EPA, ideal parquet y mascotas, 700W, nivel de ruido 80dBA, color azul",87,369,4.1,1.5,700,26.5,30,44
"22","Hoover H-Free 200 HF222UPT-Aspiradora escoba y de mano sin cable,ciclónico,especial mascotas, ion litio 22V,autonomía 40mins, 0,7L, cepillo motorizado LED, accesorio pelo mascota, tapicería y rincones",143.2,12,2.3,0.7,22,25.2,20,10
"23","TACKLIFE Aspirador Húmedo y Seco, 18.9L Aspiradora Hogar 1000W, Función Sopladora, HEPA Filtro, 2 * 0.4m Tubo de Extensión, 3 Boquillas, Tecnología de Boya Segura, PVC01A",93.9065454545455,39,6.5,18.9,535.027210884354,41.7927401574803,31.3622047244094,34.1574803149606
"24","Aspiradora de Mano Sin Cable, HIKEREN Aspirador Mano Potente, 6000PA, Aspiradora Sin Cable con Filtro de Acero Inoxidable, Luz LED, Batería de 2600mAh, Tecnología Ciclónica, 3 Boquillas",46.96,514,0.98,2.79065040650406,100,35,2,11
"25","JASHEN Aspirador sin Cable, Aspiradora 2 en 1 Ultraligera Silenciosa con Varios Accesorios, LED Cabeza, 2 Velocidades, Batería Recargable -Azul",119.99,112,2,2.79065040650406,130,18,14,60
"26","Polti Forzaspira C110_Plus Aspirador cicónico sin Bolsa, 2 litros Capacidad depósito de Recogida, 800 W, 80 Decibelios, Rojo",61.99,336,5.2,2,800,28,41,42
"27","Einhell TH-VC 1820 S  -Aspirador seco - húmedo, inox, 180 mbar, 1250 W, 230 V, 80 dB (ref. 2342167)",44.95,95,4.7,2.79065040650406,1250,32.5,41,49
"28","Hosome Aspiradoras Hogar 160W 2 en 1 Aspiradora de Mano sin Cable 20Kpa Fuerte Succión y Eficiente Sistema de Filtración 2200mAh Batería para Pelos de Mascota Alfombra Piso y Autos",93.9065454545455,26,2.5,2.79065040650406,160,23,4,5
"29","Hoover Sprint EVO SE41 Aspirador trineo sin bolsa con filtro EPA, todas las superficies, 700W, nivel de ruido 80dBA, color gris",93.9065454545455,369,4.1,1.5,700,26.5,30,44
"30","Aspiradora de mano Sin Cable 9000PA/120W para coche en seco y húmedo, 68 dB, silenciosa, con sistema de filtro de dos niveles, aspirador con batería de litio de 2600 mAh, carga rápida",93.9065454545455,56,1.18,0.6,120,41.7927401574803,31.3622047244094,34.1574803149606
"31","Robot Aspirador de Alto Rendimiento, Especial Mascotas, Todo Tipo De Suelos, Autonomía Hasta 90 Min, Sensor De Obstaculos, Mando A Distancia Incluido, Tecnología Silenciosa 70 dB. H.Koenig_SWR28",179.9,35,3.2,0.4,24,32,41,62
"32","AmazonBasics - Aspiradora cilíndrica sin bolsa, 2,5  L, 700 W [clase energética A]",69.99,312,6,2.5,700,45.3,42,32
"33","NINNA Aspiradora de Mano Sin Cable,7500PA/120W Potente Aspirador con Luz LED,Filtro de Acero Inoxidable,2500mAh Batería de Litio Recargable,Bajo Nivel de Ruido,3 Boquillas para Hogar y Coche",40.99,43,1.16,2.79065040650406,120,38,56,2
"34","VicTsing Aspiradora de Mano, 6500PA 14.8V Aspirador Mano Sin Cable Potente, Aspiradoras en Uso Seco&Húmedo, 600ml Depósito, con 2 Filtro Lavable +3 Boquillas para Pelo,Liquido,Polvo, Hogar y Coche",38.86,36,1.92,0.6,535.027210884354,41.7927401574803,31.3622047244094,34.1574803149606
"35","Philips PowerPro Compact FC9332/09 - Aspirador con Sistema Ciclonico sin Bolsa, Deposito 1.5 L, Filtro Antialergias, Facil de Limpiar",91.43,63,4.5,1.5,650,41,31,27
"36","BEAUDENS Aspirador Escoba sin Cables, 9000Pa Aspirador Potente 2 Modos, 45 min Tiempo de Ejecución Batería Recargable 2200mAh, 500ml, Sin Bolsa Desmontable Ultraligera Eléctrica Doméstica",99.99,204,3.67131666666667,2.79065040650406,535.027210884354,41.7927401574803,31.3622047244094,34.1574803149606
